Time resolution is 1 ps
Time	 a  b   s | sum carry
2190000	 0110  1101  1 | 1001 0
2200000	 0110  1110  0 | 0100 1
2210000	 0110  1110  1 | 1000 0
2220000	 0110  1111  0 | 0101 1
2230000	 0110  1111  1 | 0111 0
2240000	 0111  0000  0 | 0111 0
2250000	 0111  0000  1 | 0111 1
2260000	 0111  0001  0 | 1000 0
2270000	 0111  0001  1 | 0110 1
2280000	 0111  0010  0 | 1001 0
2290000	 0111  0010  1 | 0101 1
2300000	 0111  0011  0 | 1010 0
2310000	 0111  0011  1 | 0100 1
2320000	 0111  0100  0 | 1011 0
2330000	 0111  0100  1 | 0011 1
2340000	 0111  0101  0 | 1100 0
2350000	 0111  0101  1 | 0010 1
2360000	 0111  0110  0 | 1101 0
2370000	 0111  0110  1 | 0001 1
2380000	 0111  0111  0 | 1110 0
2390000	 0111  0111  1 | 0000 1
2400000	 0111  1000  0 | 1111 0
2410000	 0111  1000  1 | 1111 0
2420000	 0111  1001  0 | 0000 1
2430000	 0111  1001  1 | 1110 0
2440000	 0111  1010  0 | 0001 1
2450000	 0111  1010  1 | 1101 0
2460000	 0111  1011  0 | 0010 1
2470000	 0111  1011  1 | 1100 0
2480000	 0111  1100  0 | 0011 1
2490000	 0111  1100  1 | 1011 0
2500000	 0111  1101  0 | 0100 1
2510000	 0111  1101  1 | 1010 0
2520000	 0111  1110  0 | 0101 1
2530000	 0111  1110  1 | 1001 0
2540000	 0111  1111  0 | 0110 1
2550000	 0111  1111  1 | 1000 0
2560000	 1000  0000  0 | 1000 0
2570000	 1000  0000  1 | 1000 1
2580000	 1000  0001  0 | 1001 0
2590000	 1000  0001  1 | 0111 1
2600000	 1000  0010  0 | 1010 0
2610000	 1000  0010  1 | 0110 1
2620000	 1000  0011  0 | 1011 0
2630000	 1000  0011  1 | 0101 1
2640000	 1000  0100  0 | 1100 0
2650000	 1000  0100  1 | 0100 1
2660000	 1000  0101  0 | 1101 0
2670000	 1000  0101  1 | 0011 1
2680000	 1000  0110  0 | 1110 0
2690000	 1000  0110  1 | 0010 1
2700000	 1000  0111  0 | 1111 0
2710000	 1000  0111  1 | 0001 1
2720000	 1000  1000  0 | 0000 1
2730000	 1000  1000  1 | 0000 1
2740000	 1000  1001  0 | 0001 1
2750000	 1000  1001  1 | 1111 0
2760000	 1000  1010  0 | 0010 1
2770000	 1000  1010  1 | 1110 0
2780000	 1000  1011  0 | 0011 1
2790000	 1000  1011  1 | 1101 0
2800000	 1000  1100  0 | 0100 1
2810000	 1000  1100  1 | 1100 0
2820000	 1000  1101  0 | 0101 1
2830000	 1000  1101  1 | 1011 0
2840000	 1000  1110  0 | 0110 1
2850000	 1000  1110  1 | 1010 0
2860000	 1000  1111  0 | 0111 1
2870000	 1000  1111  1 | 1001 0
2880000	 1001  0000  0 | 1001 0
2890000	 1001  0000  1 | 1001 1
2900000	 1001  0001  0 | 1010 0
2910000	 1001  0001  1 | 1000 1
2920000	 1001  0010  0 | 1011 0
2930000	 1001  0010  1 | 0111 1
2940000	 1001  0011  0 | 1100 0
2950000	 1001  0011  1 | 0110 1
2960000	 1001  0100  0 | 1101 0
2970000	 1001  0100  1 | 0101 1
2980000	 1001  0101  0 | 1110 0
2990000	 1001  0101  1 | 0100 1
3000000	 1001  0110  0 | 1111 0
3010000	 1001  0110  1 | 0011 1
3020000	 1001  0111  0 | 0000 1
3030000	 1001  0111  1 | 0010 1
3040000	 1001  1000  0 | 0001 1
3050000	 1001  1000  1 | 0001 1
3060000	 1001  1001  0 | 0010 1
3070000	 1001  1001  1 | 0000 1
3080000	 1001  1010  0 | 0011 1
3090000	 1001  1010  1 | 1111 0
3100000	 1001  1011  0 | 0100 1
3110000	 1001  1011  1 | 1110 0
3120000	 1001  1100  0 | 0101 1
3130000	 1001  1100  1 | 1101 0
3140000	 1001  1101  0 | 0110 1
3150000	 1001  1101  1 | 1100 0
3160000	 1001  1110  0 | 0111 1
3170000	 1001  1110  1 | 1011 0
3180000	 1001  1111  0 | 1000 1
3190000	 1001  1111  1 | 1010 0
3200000	 1010  0000  0 | 1010 0
3210000	 1010  0000  1 | 1010 1
3220000	 1010  0001  0 | 1011 0
3230000	 1010  0001  1 | 1001 1
3240000	 1010  0010  0 | 1100 0
3250000	 1010  0010  1 | 1000 1
3260000	 1010  0011  0 | 1101 0
3270000	 1010  0011  1 | 0111 1
3280000	 1010  0100  0 | 1110 0
3290000	 1010  0100  1 | 0110 1
3300000	 1010  0101  0 | 1111 0
3310000	 1010  0101  1 | 0101 1
3320000	 1010  0110  0 | 0000 1
3330000	 1010  0110  1 | 0100 1
3340000	 1010  0111  0 | 0001 1
3350000	 1010  0111  1 | 0011 1
3360000	 1010  1000  0 | 0010 1
3370000	 1010  1000  1 | 0010 1
3380000	 1010  1001  0 | 0011 1
3390000	 1010  1001  1 | 0001 1
3400000	 1010  1010  0 | 0100 1
3410000	 1010  1010  1 | 0000 1
3420000	 1010  1011  0 | 0101 1
3430000	 1010  1011  1 | 1111 0
3440000	 1010  1100  0 | 0110 1
3450000	 1010  1100  1 | 1110 0
3460000	 1010  1101  0 | 0111 1
3470000	 1010  1101  1 | 1101 0
3480000	 1010  1110  0 | 1000 1
3490000	 1010  1110  1 | 1100 0
